x,CDF(x)
-3.973,3.54865245889935e-05
-3.9729,3.55014314426878e-05
-3.9728,3.55163442199025e-05
-3.9727,3.55312629228425e-05
-3.9726,3.5546187553713e-05
-3.9725,3.55611181147201e-05
-3.9724,3.55760546080708e-05
-3.9723,3.55909970359727e-05
-3.9722,3.56059454006344e-05
-3.9721,3.5620899704265e-05
-3.972,3.56358599490742e-05
-3.9719,3.56508261372731e-05
-3.9718,3.56657982710729e-05
-3.9717,3.56807763526859e-05
-3.9716,3.56957603843252e-05
-3.9715,3.57107503682042e-05
-3.9714,3.57257463065378e-05
-3.9713,3.5740748201541e-05
-3.9712,3.57557560554299e-05
-3.9711,3.57707698704213e-05
-3.971,3.57857896487328e-05
-3.9709,3.58008153925825e-05
-3.9708,3.58158471041898e-05
-3.9707,3.58308847857741e-05
-3.9706,3.58459284395565e-05
-3.9705,3.58609780677579e-05
-3.9704,3.58760336726007e-05
-3.9703,3.58910952563076e-05
-3.9702,3.59061628211024e-05
-3.9701,3.59212363692094e-05
-3.97,3.59363159028539e-05
-3.9699,3.59514014242616e-05
-3.9698,3.59664929356595e-05
-3.9697,3.59815904392748e-05
-3.9696,3.59966939373359e-05
-3.9695,3.60118034320717e-05
-3.9694,3.60269189257119e-05
-3.9693,3.60420404204872e-05
-3.9692,3.60571679186288e-05
-3.9691,3.60723014223687e-05
-3.969,3.60874409339398e-05
-3.9689,3.61025864555756e-05
-3.9688,3.61177379895106e-05
-3.9687,3.61328955379798e-05
-3.9686,3.6148059103219e-05
-3.9685,3.61632286874652e-05
-3.9684,3.61784042929554e-05
-3.9683,3.61935859219281e-05
-3.9682,3.6208773576622e-05
-3.9681,3.6223967259277e-05
-3.968,3.62391669721336e-05
-3.9679,3.62543727174331e-05
-3.9678,3.62695844974172e-05
-3.9677,3.62848023143292e-05
-3.9676,3.63000261704123e-05
-3.9675,3.63152560679109e-05
-3.9674,3.63304920090703e-05
-3.9673,3.6345733996136e-05
-3.9672,3.63609820313551e-05
-3.9671,3.63762361169748e-05
-3.967,3.63914962552432e-05
-3.9669,3.64067624484093e-05
-3.9668,3.6422034698723e-05
-3.9667,3.64373130084347e-05
-3.9666,3.64525973797957e-05
-3.9665,3.64678878150578e-05
-3.9664,3.64831843164743e-05
-3.9663,3.64984868862984e-05
-3.9662,3.65137955267845e-05
-3.9661,3.65291102401879e-05
-3.966,3.65444310287645e-05
-3.9659,3.65597578947708e-05
-3.9658,3.65750908404645e-05
-3.9657,3.65904298681036e-05
